Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2012;Agustus;28;1.5;-0.1;28.6;29.4;1411;1894;18;2
2012;Agustus;29;1.2;-2.5;-2.1;-8.5;2195;2232;2;21
2012;Agustus;30;0.7;-0.9;-10.5;7.5;3345;1961;;15
2012;Agustus;31;4.3;2.1;-5.3;-2.1;1939;4269;;11
2013;Juni;1;-4.8;-3.5;27.2;32.9;1320;1256;1959;1246
2013;Juni;2;-2.4;-0.7;30;33.6;1311;2108;660;107
2013;Juni;3;-4;-4.3;36;33.4;1326;1547;2064;1805
2013;Juni;4;-2.7;-7.9;35.9;45.5;1204;865;979;3920
2013;Juni;5;-3.5;;37.4;;972;969;1168;7
2013;Juni;6;-3.3;-3.6;39.7;38.7;1007;1107;1346;1292
2013;Juni;7;-2.6;-2.8;34.7;35.6;1836;1383;480;17
2013;Juni;8;-4.4;-4;36.5;40.2;1243;979;1906;1646
2013;Juni;9;-3.2;-2.7;39.5;33.8;1061;1801;1357;851
2013;Juni;10;-3.3;-3.8;37.1;36.7;1361;1437;703;2358
2013;Juni;11;-1.9;-3.1;39.4;34.9;1194;1166;324;1015
2013;Juni;12;-3.5;-3.5;34.2;32.4;1438;1241;1081;1513
2013;Juni;13;-2.8;;35.9;;719;;844;
2013;Juni;14;-1.3;-3.4;37.3;36.3;560;1218;581;1550
2013;Juni;15;-4.3;-5.1;37.5;36.7;1013;1194;2124;2454
2013;Juni;16;-3.9;-5.4;38.4;35.9;1561;980;1133;2737
2013;Juni;17;-2.7;-1.5;39.1;39.3;817;1604;1374;63
2013;Juni;18;-3.2;-5.2;34.4;31.5;1446;1388;747;2579
2013;Juni;19;-2.4;-4.8;22.8;33.9;1173;1389;1348;2074
2013;Juni;20;-4.2;-3.5;34.7;35.8;931;1056;1630;2120
2013;Juni;21;-4.1;-6;32.9;35.2;2442;1177;914;2858
2013;Juni;22;-5.6;-6.2;34.6;36.8;1374;1170;1675;2897
2013;Juni;23;-5.1;-5.2;33.7;34.1;1034;1225;2108;2387
2013;Juni;24;;-3.4;;14.7;;1547;;17
2013;Juni;25;-2.7;-6.7;9.3;29.8;1686;1346;8;3426
2013;Juni;26;-4.6;-2.8;20.1;31.2;1785;1182;1587;961
2013;Juni;27;-2.5;-5.4;29.9;37.2;1579;1394;663;2520
2013;Juni;28;-2.5;-1.6;37.1;38;1223;1442;1374;657
2013;Juni;29;-1.8;-1.5;32.4;25.8;1605;1879;455;702
2013;Juni;30;-5.1;-5.2;27.1;32.7;1831;876;2704;2345
2013;Juli;1;-3.8;-2.3;32;35.8;1641;1505;954;731
2013;Juli;2;-4.2;-2.7;32.4;36;1058;1295;2449;875
2013;Juli;3;-4.6;-2.9;40.9;34.8;1128;1095;1882;1159
2013;Juli;4;-3.5;-4.8;36.9;33.7;1233;2194;1404;2937
2013;Juli;5;-1.9;-1.8;15;14.7;1696;2155;11;503
2013;Juli;6;-2;-2.3;7.1;16;1416;1726;96;605
2013;Juli;7;-2.4;1;12.1;11.1;2346;2643;1225;0
2013;Juli;8;-0.9;-1.3;22.5;35.7;1581;1200;11;857
2013;Juli;9;-2;-4.3;33;34.8;1657;1432;570;2628
2013;Juli;10;-2.4;-5.2;38.2;36.9;1225;634;980;2548
2013;Juli;11;9.5;-1.9;33;34.4;1408;1410;0;424
2013;Juli;12;0.4;-2.5;33.2;35.8;1375;1467;29;516
2013;Juli;13;-2.1;-4.7;38.5;34.1;1060;1217;594;2961
2013;Juli;14;-4.2;-4.9;36.9;36.3;936;1190;1331;2627
2013;Juli;15;-2.4;-4.4;36.8;9.9;1750;1245;510;2428
2013;Juli;16;-1.4;-1.5;30.5;28.4;1537;1536;983;1213
2013;Juli;17;1;-0.9;18.1;18;1618;1730;3;18
2013;Juli;18;-0.5;-1.7;8.1;15.6;1938;1810;0;19
2013;Juli;19;2.9;0;13.1;31.1;1599;1511;0;7
2013;Juli;20;1.2;0.4;28.7;16.1;1585;1567;42;128
2013;Juli;21;-0.7;-2.1;23.3;26.7;1859;1740;20;754
2013;Juli;22;-3.7;-4.4;32.8;28.6;1181;1334;1236;2294
2013;Juli;23;-1.2;-3.9;30;30;1354;1485;558;1280
2013;Juli;24;-5.4;-4.9;38.6;36.5;727;875;1822;2730
2013;Juli;25;-4.9;-3.2;36.4;26.9;1352;1979;861;31
2013;Juli;26;-3.5;-4.5;34.9;31.9;1730;2231;771;869
2013;Juli;27;-2.7;-4.3;27.1;24.6;2411;1722;176;78
2013;Juli;28;-0.7;0.3;16.7;16.6;1932;2791;22;58
2013;Juli;29;5.2;0.8;14.1;12.9;2448;3256;0;2
2013;Juli;30;2;;16.1;;2559;;0;
2013;Juli;31;;2.6;;-1.9;;3680;;10
2013;Agustus;1;1;1;3.5;-3.7;2784;3033;;10
2013;Agustus;2;0;-1;-9.7;30.2;1941;1836;2;870
2013;Agustus;3;0;;20;;2172;;14;
2013;Agustus;4;0;0;22.9;24.3;2386;2773;22;41
