Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2012;Februari;18;-3;;35;;1308;;908;
2012;Februari;19;-3;-3;34.9;32.7;1675;1856;1648;730
2012;Februari;20;-4;-5;39.3;35.5;1205;860;1210;2006
2012;Februari;21;-2;-6;34.9;34.3;1464;1249;162;852
2012;Februari;22;-5;-1;36.5;30.2;1047;1316;1693;575
2012;Februari;23;-4;-5;32.8;36.6;1407;1633;1903;3175
2012;Februari;24;-4;-2;34.8;36.5;1417;2071;1693;490
2012;Februari;25;-5;-6;41.1;33.9;686;1179;1530;3054
2012;Februari;26;-3;-5;36.6;35.5;1466;1730;649;2435
2012;Februari;27;-1;-2;34.1;38.3;1451;1305;348;747
2012;Februari;28;0;-4;34;32.9;1793;1349;105;2685
2012;Februari;29;-4;-4;35;36.2;1346;1536;1430;2194
2012;Desember;1;-4.7;-6.4;26.5;27.9;1602;1236;1905;4229
2012;Desember;2;-4.5;0;35;0;1326;451;2430;0
2012;Desember;3;-2.7;-3.8;34.2;35.4;1691;1484;896;1439
2012;Desember;4;-3.5;-3;36;37.3;1737;1361;1207;791
2012;Desember;5;-3.2;-1.6;33.6;31.1;1405;1504;1043;24
2012;Desember;6;-1.7;-5.6;34.1;33.6;1375;1473;827;3150
2012;Desember;7;-4;-4.5;32.6;35.2;1303;1323;1957;1771
2012;Desember;8;-4.5;-6.7;27.1;32.2;1589;1441;1919;3226
2012;Desember;9;-1.4;-4.3;34;39.9;1948;1235;201;2254
2012;Desember;10;-2.7;-5.2;28.9;31.8;1974;1363;1030;2394
2012;Desember;11;-3.6;-4.8;35.1;36.5;1429;1239;1629;2413
2012;Desember;12;-4.6;-5;35.5;37.9;1159;1095;1654;1810
2012;Desember;13;-2.1;-1.4;33.2;34.6;1484;1363;805;501
2012;Desember;14;-3.6;-5;35.8;34.4;1621;1397;1730;2828
2012;Desember;15;;-3.8;;35;;1087;;1480
2012;Desember;16;-4.6;-1.1;35.7;34.9;1301;1623;2039;202
2012;Desember;17;-2.1;-3.2;33.9;37.7;1577;2046;;802
2012;Desember;18;-2.5;-5.5;35.5;6.2;1868;1434;589;2010
2012;Desember;19;-2.8;4.2;34.2;37.8;1816;1693;991;1252
2012;Desember;20;-3.5;-1.6;35.7;36.6;1845;1506;1058;330
2012;Desember;21;2.8;-2.8;36.5;33.1;1321;1615;599;904
2012;Desember;22;-3;-2.6;34.4;36.2;2241;1369;988;1114
2012;Desember;23;-4.2;-4.8;35.1;36.4;1655;1190;1250;2839
2012;Desember;24;-4.3;-4.2;37.3;37.7;1292;962;1742;1854
2012;Desember;25;-4.5;-3.9;37.8;37.7;1229;1290;1792;1286
2012;Desember;26;3.8;2.3;35.2;37.5;1709;1366;863;2
2012;Desember;27;-2;-3.5;34.9;37.8;1015;902;489;1680
2012;Desember;28;-3.3;-3.7;36.2;36;1014;1171;1580;1849
2012;Desember;29;-2.5;-6.2;33.8;34.9;1122;800;965;3366
2012;Desember;30;-2.9;-4.6;35.3;37.1;1496;1364;1237;2083
2012;Desember;31;-3.4;-1;36.3;38.5;1707;1286;1408;104
2013;Januari;1;-3;0;37.8;37.9;1514;1429;771;113
2013;Januari;2;-2;-4;33.7;39.5;1741;778;252;1952
2013;Januari;3;-2;-4;37.1;37.4;1477;1360;895;2058
2013;Januari;4;-5;-3;36.2;38.2;1525;1392;1499;875
2013;Januari;5;-1;-5;36.2;35.2;1627;1281;241;2199
2013;Januari;6;-2;-3;38.7;38.7;1633;796;296;917
2013;Januari;7;-3;-3;37.3;33;1550;2395;1037;1366
2013;Januari;8;-1;-1;33.4;33.6;1922;2360;228;87
2013;Januari;9;-1;-3;35;32;1979;1618;413;1040
2013;Januari;10;0;-3;29.3;35.4;1500;1400;70;1027
2013;Januari;11;0;-5;32.2;29;1559;1640;334;1953
2013;Januari;12;-4;-3;32.8;33.6;1605;1682;1648;918
2013;Januari;13;-3.4;-3.1;34;36.6;1304;1386;1417;1380
2013;Januari;14;-3.5;-2.2;38.4;38.1;1319;876;1033;680
2013;Januari;15;-2.2;-1.6;35.1;32.2;1449;1330;438;548
2013;Januari;16;-1.2;-3.9;34.5;36;1486;1138;3;2086
2013;Januari;17;-1.8;-2.5;31.6;39.4;1942;1455;1;473
2013;Januari;18;-2.4;-5.1;36.3;35.2;1509;1666;1066;2053
2013;Januari;19;-3.4;-4.2;35.3;39.2;2251;885;-8.9;2542
2013;Januari;20;-2.1;-1.6;35.8;33.4;1434;1369;570;438
2013;Januari;21;-2.9;-0.6;36.4;37.7;1583;1270;1035;8
2013;Januari;22;-3.7;-3.8;34.6;39.3;1490;867;1181;2366
2013;Januari;23;-0.5;-5.1;31.2;34.8;1454;1029;577;2600
2013;Januari;24;-2.6;-3.2;30.8;35.1;1354;1573;931;629
2013;Januari;25;-1.1;-1.4;26.7;36;1710;1444;80;264
2013;Januari;26;-3.8;-2;34.2;37;1673;1895;1258;271
2013;Januari;27;-1.4;-4.3;30.6;39.5;1971;1163;433;1609
2013;Januari;28;-4.5;-1.3;33.8;34.2;1655;1272;1144;161
2013;Januari;29;-4;-3.1;35.8;29.9;1674;2208;727;762
2013;Januari;30;-1.4;-1.4;31.7;32.4;1831;1211;163;194
2013;Januari;31;;-5.1;;33.9;;1227;;1902
2013;Februari;1;-1.7;-3.1;32.9;37.3;1224;1082;902;929
2013;Februari;2;-5.1;-5.1;36.2;40.1;1258;928;2044;824
2013;Februari;3;-4.3;-5;38.4;34.7;1329;1288;1584;2768
2013;Februari;4;-4.4;-8.8;33.2;33.5;1351;1724;2036;4201
2013;Februari;5;-1.8;-5.2;34.3;32.2;1498;1760;817;2047
2013;Februari;6;-3.3;-4;26.4;23.9;1393;2233;1305;2758
2013;Februari;7;-2.9;;19;;1476;;1151;
2013;Februari;8;-4.7;-6.4;21;14.7;1308;1734;2258;3756
2013;Februari;9;-4.4;-3.8;28.7;34.3;1368;1286;1612;2581
2013;Februari;10;-2;-3.2;30.8;28.7;1435;1778;882;2277
2013;Februari;11;-3.2;-2.1;33.4;34.2;1566;1841;1816;755
2013;Februari;12;-2.8;-5.7;31.1;35.7;1745;1122;1518;3066
2013;Februari;13;2.5;-3.7;36.7;31.6;1589;1761;0;1472
2013;Februari;14;-4.1;-5.3;34.2;35.3;1377;1605;1372;2654
2013;Februari;15;-2.1;-1.4;34.4;40.3;1968;1221;737;270
