Tahun;Bulan;Tanggal;LI_00;LI_12;KI_00;KI_12;CCL_00;CCL_12;CAPE_00;CAPE_12
2012;Mei;29;2;3;34.5;33.1;1666;2040;;14
2012;Mei;30;1;;31;8;1761;1262;;
2012;Mei;31;0;-1;;33.7;1411;1277;875;1605
2013;Maret;1;-1.7;-3.7;30;33.6;1874;1702;7;1375
2013;Maret;2;-1.7;-2.9;34;33.8;1002;1999;1937;183
2013;Maret;3;-3.9;-1.3;32.5;34.3;2207;1678;1594;1228
2013;Maret;4;-4;-4.4;29.9;39.5;1940;1729;1222;3630
2013;Maret;5;-3.7;-5.7;37.3;33.3;1551;1467;373;1666
2013;Maret;6;-3;-3.9;30.1;36.8;2500;1418;412;2031
2013;Maret;7;-1.8;-3.8;38.9;27.3;1327;2357;1427;154
2013;Maret;8;-2.9;-0.9;34.4;27.3;924;2357;1282;154
2013;Maret;9;-3.1;-0.9;35.2;39.6;1530;1317;522;324
2013;Maret;10;-1.1;-1.3;37.1;43.5;1387;1063;1241;1726
2013;Maret;11;-4.2;-5.7;33.8;;1656;1813;1552;104
2013;Maret;12;-4;;32.9;38;1856;1364;546;69
2013;Maret;13;-3.4;-0.4;32;38.5;1434;1314;8;1253
2013;Maret;14;-2.8;-3.3;33.5;37.5;1384;1238;1038;771
2013;Maret;15;-2.9;-2.7;30.3;32.8;19000;1813;502;1012
2013;Maret;16;-1.8;-2.8;26;33.2;1566;2007;579;561
2013;Maret;17;-2.1;-1.8;30.4;37;2033;1443;937;1376
2013;Maret;18;-2.4;-3.7;32.8;34.7;1831;1341;1712;2598
2013;Maret;19;-4.3;-5.3;28.9;26.9;1570;2062;1454;830
2013;Maret;20;-2.4;-2.5;22.1;27.5;2121;2006;1641;2551
2013;Maret;21;-2.8;-5.4;26.5;17.9;1637;2242;2056;3293
2013;Maret;22;-4.4;-5.7;25.5;21.9;2134;2367;1146;2666
2013;Maret;23;-3.6;-5;35.1;34.3;1401;2110;2428;1856
2013;Maret;24;-5.2;-4.8;28.9;28.3;1724;1782;1714;3721
2013;Maret;25;-3.9;-5.5;29.3;31.6;1799;2582;860;777
2013;Maret;26;-1.6;-2.5;33.3;39.1;1408;1614;2104;2702
2013;Maret;27;-3.5;-5.7;32.7;35.5;1721;1736;1007;276
2013;Maret;28;-2.6;-1.5;35;34;1634;1500;2362;3435
2013;Maret;29;-5.3;-6.4;34.8;36.3;1234;1771;3249;2410
2013;Maret;30;-6.3;-4.8;32.2;36.3;156;1539;948;2084
2013;Maret;31;-2.9;-4.8;30.5;37.5;1947;1511;754;9
2013;April;1;-4;-5.6;32.4;35.2;1758;1739;1746;3428
2013;April;2;-3.4;-3.7;32.9;30.6;1835;1261;1018;3407
2013;April;3;-4.5;-3.5;33.1;34.7;1817;1612;1623;2482
2013;April;4;-4.5;-5.5;33.6;32.8;2058;1950;1811;3305
2013;April;5;-4.6;-5.9;33.6;35.3;1319;1840;2301;3170
2013;April;6;-2.3;-3.3;33;33.4;1691;2088;482;1322
2013;April;7;-3.4;-0.9;36.8;35.4;1540;1653;1390;187
2013;April;8;-0.1;-6;31.3;31.1;2408;2338;12;3563
2013;April;9;-4.7;-3.2;31.1;36.8;2149;1750;2327;1520
2013;April;10;-3.8;-7;29.3;31.7;2926;1606;865;4573
2013;April;11;-3.7;-2.2;35.2;31.9;1517;2310;1838;1162
2013;April;12;-1.1;-1.6;31.3;33.8;2801;1972;15;60
2013;April;13;-4.3;-5.4;36.6;32.4;2252;1652;1967;3787
2013;April;14;-4.8;;32.4;;1777;;2077;
2013;April;15;-4.7;-4.4;37;35.7;1484;1796;2865;2624
2013;April;16;-1.8;-6;30.2;35.7;1950;2112;0;2838
2013;April;17;-4;-5.5;29.7;29.1;1873;1311;1421;3192
2013;April;18;-2.5;-2.7;32.4;35.8;1735;1671;466;520
2013;April;19;-4.9;-6;34.1;30.3;2181;2348;1508;3136
2013;April;20;-3.4;-5.4;27.7;29.5;2533;2242;1105;2830
2013;April;21;-5.9;-5.7;26.9;18.7;1352;2255;2306;3113
2013;April;22;-4.6;-6;19.1;36;2452;1831;1827;2651
2013;April;23;;-4.7;;30.7;1491;2608;425;3149
2013;April;24;-2.5;-2.8;32.7;29.3;1542;1908;1591;909
2013;April;25;-3.4;0.2;17.5;18.9;2114;4324;1253;12
2013;April;26;-1.6;-0.9;16.9;13.3;2458;1605;23;17
2013;April;27;-3.9;-3.4;15.9;32;1905;1829;1627;1725
2013;April;28;-4.5;-5.1;14.1;19.9;1669;1857;2066;2749
2013;April;29;-4.7;-4.3;28.3;29.4;1904;2772;2247;2564
2013;April;30;-2.6;-1.4;18;23.1;1631;2278;2069;121
2013;Mei;1;-3.1;-3.9;21.1;25;2225;1693;1653;2177
2013;Mei;2;-3.1;-2.8;28;26.7;1285;2123;1254;1436
2013;Mei;3;-3.3;-4.7;27.3;33.4;1367;2071;1644;2418
2013;Mei;4;-3.1;-2.3;33.8;26;1194;1768;1360;943
2013;Mei;5;-3.9;-4.8;25.2;34.6;1234;1413;2002;3172
2013;Mei;6;-2.3;-6;33.2;33.5;1410;1070;1114;3899
2013;Mei;7;-5;-2.5;33.3;32.3;1711;1686;2070;523
2013;Mei;8;-2.4;-3.6;33.7;25.2;1120;1516;1347;1554
2013;Mei;9;-1.5;-0.6;23;23.8;1644;1812;5;2
2013;Mei;10;-2.5;-4.6;30.6;27.9;1580;1162;1260;2592
2013;Mei;11;-4.4;-5.8;25.2;12.9;679;1194;1229;3212
2013;Mei;12;-2.7;-2.1;31.4;36.6;905;1335;974;948
2013;Mei;13;-1.4;-4.1;37.3;26.3;1297;2579;430;1594
2013;Mei;14;-3.1;-4.6;27.3;35.5;1188;2070;1375;2790
2013;Mei;15;-3.4;-3.1;36.9;32.3;1685;2369;358;846
2013;Mei;16;-5.4;-6.1;33.4;33.5;1700;1558;2546;2923
2013;Mei;17;-4.6;-4.8;34.9;31.5;1360;1279;2002;3001
2013;Mei;18;-2.7;-2;32.2;34.5;2872;1704;516;604
2013;Mei;19;-3.1;-4.7;33.5;29.3;2290;2151;796;2245
2013;Mei;20;-2.8;-2.1;35.7;32;1402;1645;821;912
2013;Mei;21;-2.8;-2.3;30;29.6;1764;1963;1071;841
2013;Mei;22;-3.8;-6.4;29.8;33.6;1656;1583;1468;3208
2013;Mei;23;-2.8;-3.8;33.6;30.7;1577;2755;1430;1412
2013;Mei;24;-4.9;-2.5;27.5;29.1;1445;2257;2493;464
2013;Mei;25;-4.8;-5.5;34;31.6;1251;1645;2351;3162
2013;Mei;26;-1.8;1.4;33.9;36.3;1682;1321;544;64
2013;Mei;27;-5.6;;35.8;;1188;;3031;
2013;Mei;28;-2.6;-3;31.8;33.3;2079;1530;353;2109
2013;Mei;29;-5.3;-4.7;34.7;31.8;1674;1358;1190;2433
2013;Mei;30;-1.7;;28.6;;2172;;666;2
2013;Mei;31;-2.7;-3.7;30;33.4;141;1981;9;1327
2014;Maret;1;-2.4;-2.8;32;36.6;1880;1109;493;1925
2014;Maret;2;-1;-6.2;34.4;42.1;1310;1477;300;1562
2014;Maret;3;-1.6;-1.9;32.6;38;1829;1437;473;472
2014;Maret;4;-2.5;-2.8;35.2;38.9;1441;1508;590;568
2014;Maret;5;-3;-1.4;33.6;38.8;1478;1425;825;264
2014;Maret;6;-2.4;-2.8;25.7;31.1;1938;1679;583;
2014;Maret;7;-1.7;-4.1;32.7;37.4;1613;1717;706;2133
2014;Maret;8;-2.8;-5.5;30.4;38.5;1679;1348;403;3207
2014;Maret;9;-4.5;-5.2;36.9;35.8;1429;1012;1559;2257
2014;Maret;10;-3.2;-2.8;34.4;37.5;1263;1010;1161;1575
2014;Maret;11;-3.7;-1.6;37.2;36.9;1423;1807;1761;208
2014;Maret;12;-2.7;;29;;1477;1681;6;14
2014;Maret;13;-3.4;-2.7;35.8;38.4;1525;1041;945;699
2014;Maret;14;-2.9;-6.9;37.1;33.4;1499;1116;287;1116
2014;Maret;15;-3;-7.7;32.8;39.2;1795;1374;1281;3810
2014;Maret;16;-3.2;-2.5;36.7;34.2;1171;1401;1125;596
2014;Maret;17;-5.3;-3.2;38.4;33.4;1177;1410;1998;1224
2014;Maret;18;-2.3;-2.5;35.9;38.5;1642;1253;471;1044
2014;Maret;19;-0.5;-5.2;7.1;35.8;1572;1012;1;2257
2014;Maret;20;-1.8;-2.8;30.2;37;1378;1202;16;916
2014;Maret;21;-2.4;-5.2;34.8;34.7;1425;1048;1046;2883
2014;Maret;22;-3.9;-2.3;34;32.7;1429;2599;1573;336
2014;Maret;23;-1.8;-2.9;32.3;38.2;2225;2146;953;10
2014;Maret;24;-4.1;-3.2;25.8;37.5;1082;1010;2046;1575
2014;Maret;25;-0.5;-3.6;6.7;10.1;1377;1848;10;2049
2014;Maret;26;3.4;-4.3;5.7;10.3;1717;1774;;2755
2014;Maret;27;-2;-3.7;24.7;28..5;1765;1821;948;2406
2014;Maret;28;-4.8;-2.9;35.4;35.2;1375;1626;1891;1042
2014;Maret;29;-5.2;-4.1;37.8;28.3;927;1826;2419;2146
2014;Maret;30;-2;-5.6;35.7;32.5;1696;1313;955;3031
2014;Maret;31;-4;-4.8;26.3;30.3;1654;2688;2048;2399
2014;April;1;-3.8;-7.3;30.9;38.9;1815;1135;1446;4635
